image_id,post_id,date,author_class,author_department,is_anonymous,purpose,target_class,target_department,description,sentiment,target_name_initial
53,0053_01,2024-12-05,,,True,寻人,S2603,S,高二三班 姓周 男生,积极,z
54,0054_01,2024-12-05,,,True,寻人,,,今天早上在篮球场跳dito,中性,xjk
55,0055_01,2024-12-05,,,False,表白,S2703,S,美 抑郁症的克星 植物人的闹钟 帅,积极,hys
56,0056_01,2024-12-05,,,True,寻人,S2606,S,皮肤很白 常穿粉紫渐变鸳鸯AJ,中性,
57,0057_01,2024-12-05,,,True,寻人,,,高一 语文年级第一 美女,中性,
58,0058_01,2024-12-05,,,True,其他,,,,中性,
59,0059_01,2024-12-05,,,True,提问,J2405,J,,中性,sm
60,0060_01,2024-12-05,,,True,祝福,S2503,S,百年好合,积极,xjw hyq
61,0061_01,2024-12-05,J2503,J,False,表白,J2503,J,好小一只 好可爱 好自 好嫩,积极,xjw
62,0062_01,2024-12-05,,,True,其他,,,,中性,
63,0063_01,2024-12-05,,,True,提问,,,,中性,
64,0064_01,2024-12-05,,,True,表白,J2405,J,一起度过三年 美好时光,积极,J2405mygr
65,0065_01,2024-12-05,,,False,其他,,,,中性,
66,0066_01,2024-12-05,,,True,提问,,,,中性,
67,0067_01,2024-12-05,,,True,提问,,,,中性,
68,0068_01,2024-12-05,,,True,寻物,,,,中性,
69,0069_01,2024-10-28,,,True,寻人,J2405,J,姓徐 女生,中性,x
70,0070_01,2024-10-28,,,True,表白,5272,,巨美,积极,cye
71,0071_01,2024-10-28,,,True,寻人,,,细丝黑眼睛 黑皮 市运会 第二天上午有项目,中性,
72,0072_01,2024-10-28,,,True,表白,S2610,S,太帅了,积极,cc
73,0073_01,2024-10-28,,,False,表白,J2405,J,,积极,
74,0074_01,2024-10-28,,,True,其他,,,,中性,
75,0075_01,2024-10-28,,,True,表白,J2503,J,好可爱 王子殿下,积极,ZYR
76,0076_01,2024-10-28,,,True,提问,24届,,,中性,
77,0077_01,2024-10-28,,,True,表白,2501,S,好帅 男神,积极,dyh
78,0078_01,2024-10-28,,,True,寻人,S2710,S,小姐姐,积极,m
79,0079_01,2024-10-25,,,True,寻人,J2004,J,,中性,yjc
80,0080_01,2024-10-25,,,True,表白,J2503,J,3班男神,积极,dyh
81,0081_01,2024-10-25,J2402,J,False,祝福,,,,积极,
82,0082_01,2024-10-25,,,True,表白,J2503,J,萌 可爱,积极,xjw
83,0083_01,2024-10-25,,,True,提问,,,,中性,nwqezdxzxj
84,0084_01,2024-10-25,,,True,表白,J2503,J,超级帅,积极,wDQ
85,0085_01,2024-10-25,,,True,表白,S2707,S,小小的 白白的 眼睫毛好长 喜欢 活泼 转去篮球班,积极,lsl
86,0086_01,2024-10-25,,,True,寻人,,,头发黄黄 不算长 穿着自裤子 呆呆,积极,
87,0087_01,2024-10-25,,,False,表白,J2405,J,,积极,qttx
88,0088_01,2024-10-25,,,True,表白,b2709,,大美女,积极,zy
89,0089_01,2024-10-23,,,True,表白,S2507,I,帅 男神,积极,lyc
90,0090_01,2024-10-23,,,True,表白,J2507,J,语文教的好,积极,qls
91,0091_01,2024-10-23,,,True,寻人,S2703,S,黑皮 狼尾,中性,hplw
92,0092_01,2024-10-23,,,True,寻人,J2607,J,,中性,
93,0093_01,2024-10-23,S2604,S,True,寻人,S2604,S,穿粉色外套 女生 十佳歌手比赛,中性,
94,0094_01,2024-10-23,,,False,表白,J2503,J,可爱,积极,xjw
95,0095_01,2024-10-23,,,False,其他,,,,中性,
96,0096_01,2024-10-23,,,True,表白,,,体育组老师,积极,zysq
97,0097_01,2024-10-23,,,False,其他,,,玩第五人格,中性,
98,0098_01,2024-10-23,,,True,表白,J2503,J,可爱,积极,xjw
99,0099_01,2024-10-23,,,True,寻人,2404,,穿粉色外套 十佳歌手比赛,中性,
100,0100_01,2024-10-23,,,True,表白,,,宁外体育组老师,积极,zysq
101,0101_01,2024-10-23,,,True,寻人,J2607,J,,中性,
102,0102_01,2024-10-23,,,True,寻人,S2703,S,黑皮 狼尾,中性,hplw
103,0103_01,2024-10-23,J2507,J,True,表白,J2507,J,语文 教得好,积极,qls
104,0104_01,2024-10-23,,,True,表白,S2507,I,帅 国际部男神,积极,lyc
105,0105_01,2024-10-12,,,True,表白,S2608,S,宁外校草 实至名归,积极,lbw
106,0106_01,2024-10-12,,,True,表白,S2608,S,宁外校草 实至名归,积极,lbw
107,0107_01,2024-10-12,,,True,表白,S2608,S,宁外校草 实至名归,积极,lbw
108,0108_01,2024-10-12,,,True,推广,,,,中性,
109,0109_01,2024-10-12,,,True,提问,,,穿黑t短裤 接力跑太快 被体育老师点名,中性,xc
110,0110_01,2024-10-12,,,False,寻人,,,Kpop圈友,中性,
111,0111_01,2024-10-12,,J,True,提问,,J,,中性,
112,0112_01,2024-10-12,,,True,其他,,,,积极,
113,0113_01,2024-10-12,,,True,寻人,J2705,J,,中性,smy
114,0114_01,2024-10-12,,,True,提问,,,校草 运动会 穿黑T短裤 接力跑快 被体育老师点名,中性,
115,0115_01,2024-10-12,,,False,寻人,,,Kpop圈友,中性,
116,0116_01,2024-10-12,,J,True,其他,,J,会打排球,中性,
117,0117_01,2024-10-12,,,True,提问,,,,中性,
118,0118_01,2024-10-12,,,True,寻人,J2705,J,,中性,smy
119,0119_01,2024-10-12,,,False,寻人,,,点了一杯茶百道的青提茉莉 要小料死命加 放在3422的一号床位,消极,
120,0120_01,2024-10-12,,,True,表白,S2501,S,高 帅呆,积极,whq
121,0121_01,2024-10-12,J2505,J,False,寻人,,,高中漂亮学姐,积极,
122,0122_01,2024-10-12,,,True,提问,,,,中性,
123,0123_01,2024-10-12,,,True,提问,,,,中性,
124,0124_01,2024-10-12,,,True,寻人,S2508,S,学姐,积极,jzy
125,0125_01,2024-10-12,,,True,表白,J2505,J,,积极,zdn
126,0126_01,2024-10-12,,,True,寻人,,,MBTI是ENFP的男生,中性,
127,0127_01,2024-10-12,,,True,寻人,J2602,J,,中性,zjy
128,0128_01,2024-10-12,,,False,寻人,,,,中性,
129,0129_01,2024-10-12,,,True,表白,S2501,I,长得高 帅,积极,
130,0130_01,2024-10-12,J2505,J,False,寻人,,,高中漂亮学姐,积极,
131,0131_01,2024-10-12,,,True,提问,,,,中性,
132,0132_01,2024-10-12,,,True,提问,,,,中性,
133,0133_01,2024-10-12,,,True,寻人,S2508,S,学姐,中性,jzy
134,0134_01,2024-10-12,,,True,表白,J2505,J,,积极,zdn
135,0135_01,2024-10-12,,,True,寻人,,,ENFP,中性,mbtisENFPdns
136,0136_01,2024-10-12,,,True,寻人,J2602,J,,中性,zjy
137,0137_01,2024-09-04,,,False,其他,,,,中性,xs
138,0138_01,2024-09-04,,,True,寻人,,,,中性,
139,0139_01,2024-08-06,,,True,提问,,,,中性,
140,0140_01,2024-08-06,,,True,寻人,,,想加好友,积极,xzn al
141,0141_01,2024-08-06,,,True,表白,,,可爱,积极,52509m
142,0142_01,2024-07-24,S2701,S,False,寻人,,,,中性,
143,0143_01,2024-07-23,,,True,其他,,,,中性,
144,0144_01,2024-07-23,,,True,其他,,,,中性,
145,0145_01,2024-07-23,,,True,推广,,,,中性,
146,0146_01,2024-07-23,,I,True,寻人,S2508,S,偷书 偷计算机 偷相机 倒卖,消极,hyz
147,0147_01,2024-07-23,,,False,寻人,,,,中性,
148,0148_01,2024-07-23,,,True,寻人,S2200,S,高三,中性,xty
149,0149_01,2024-07-23,,,True,寻人,新高二一班,,漂亮,积极,
150,0150_01,2024-07-23,,,True,提问,,,,中性,
151,0151_01,2024-07-23,,,True,其他,,,,中性,
152,0152_01,2024-07-23,,,True,提问,,,,中性,
153,0153_01,2024-07-23,,,True,提问,,,,中性,
154,0154_01,2024-07-23,,,True,寻人,S2601,S,漂亮 名字复杂,中性,
155,0155_01,2024-07-23,,,True,寻人,S2203,S,高三,中性,xty
156,0156_01,2024-07-23,,,False,寻人,,,温柔,积极,
157,0157_01,2024-07-23,,I,True,寻人,S2508,S,偷书 偷计算机 偷相机 倒卖,消极,hyz
158,0158_01,2024-07-16,,,True,提问,,,,中性,
160,0160_01,2024-07-16,,,True,表白,,,同桌,积极,tle
161,0161_01,2024-07-16,,,True,提问,,,,中性,
162,0162_01,2024-07-16,,,True,寻人,G1101,,会打篮球 比较健壮 唱过最长的电影,中性,w
163,0163_01,2024-07-16,,,True,寻人,,,黑色衣服 男孩子,中性,
165,0165_01,2024-07-16,,,True,推广,,,,积极,
166,0166_01,2024-07-16,,,True,推广,,,,积极,
167,0167_01,2024-07-16,,,True,推广,,,,积极,
168,0168_01,2024-07-04,,,True,寻人,,,背逆转裁判痛包,积极,xjj
169,0169_01,2024-05-24,,,True,寻人,S2609,S,,积极,yzx cyz
170,0170_01,2024-03-27,,,True,寻人,,,高二,中性,ljl
171,0171_01,2024-02-26,,,True,寻人,J2405,J,帅,积极,cxI
172,0172_01,2024-02-26,,,True,其他,,,,中性,
173,0173_01,2024-02-13,,,True,表白,J2304,J,帅,积极,lhx
174,0174_01,2024-02-10,,,True,表白,J2405,J,,积极,mlrp
175,0175_01,2024-02-10,,,True,寻人,,,帅哥,中性,
176,0176_01,2024-02-10,,,True,其他,,,,中性,80Qybc
177,0177_01,2024-01-26,,,True,表白,S2506,S,漂亮 有气质,积极,wym
178,0178_01,2024-01-23,,,True,寻人,S2605,S,,中性,wcq
179,0179_01,2024-01-23,S2505,S,False,寻物,,,白色自动伞 伞把按钮紫色 伞绳紫色 伞绳有小缺 伞把和收伞扣子有品牌名,中性,
180,0180_01,2024-01-23,S2508,S,True,推广,,,,中性,
181,0181_01,2024-01-03,,,True,寻人,,I,国际部音乐会 学生导演 女生,中性,
182,0182_01,2024-01-03,J2301,J,False,其他,,,,中性,
183,0183_01,2024-01-03,J2501,J,False,其他,,,,中性,
184,0184_01,2024-01-03,,,True,寻人,J2408,J,扎侧麻花辫 女生,中性,
185,0185_01,2023-12-31,,,True,寻人,,,拿错礼物 草莓熊 零食礼包,消极,
187,0187_01,2023-12-31,,,True,寻人,,,打架子鼓 穿灰色卫衣 艺术节最后一个,中性,
188,0188_01,2023-12-31,,,False,寻人,S2501,S,,中性,cs
189,0189_01,2023-12-31,,,True,寻人,,I,穿兽装,中性,
190,0190_01,2023-12-31,,,True,提问,,,,中性,
191,0191_01,2023-12-20,,,False,寻物,,,,中性,
192,0192_01,2023-12-20,,,True,表白,,,小美女,积极,gyc
193,0193_01,2023-12-20,,,True,其他,,,,中性,
194,0194_01,2023-12-20,,,True,寻物,,,英文歌 女生唱 前奏好听 像上战场 忧伤 歌词有long high so light baby i'm falling,中性,
195,0195_01,2023-12-20,,,True,提问,,,,中性,
196,0196_01,2023-12-20,,,True,提问,,,,中性,
197,0197_01,2023-12-20,,,False,寻物,,,,中性,
198,0198_01,2023-12-20,,,False,寻物,,,,中性,
199,0199_01,2023-12-20,,,True,提问,,,,中性,
200,0200_01,2023-12-20,,,False,寻物,,,,中性,
201,0201_01,2023-12-20,,,True,表白,S2501,S,小美女,积极,gyc
202,0202_01,2023-12-20,,,True,其他,,,,中性,nwdkpopr
203,0203_01,2023-12-20,,,True,寻物,,,,中性,
204,0204_01,2023-12-20,,,True,提问,,,英文歌 女生唱 前奏好听 像上战场 忧伤 歌词 long high so light baby i'm falling,中性,
205,0205_01,2023-12-20,,,True,表白,J2505,J,长得好看,积极,lsy
206,0206_01,2023-12-20,,,True,祝福,,,宁外之声 四首歌 日语歌 好燃 中文歌 旋律好听 韩语 好听,积极,
207,0207_01,2023-12-20,,,True,表白,J2505,J,,积极,lsy
208,0208_01,2023-12-20,,,True,表白,,,科学任课老师 帅 大猫猫,积极,zb
209,0209_01,2023-12-20,J2305,J,False,提问,,,,消极,
210,0210_01,2023-12-20,,,True,寻人,J2503,J,帅哥 站最前面,积极,
211,0211_01,2023-12-20,,,True,提问,,,,中性,
212,0212_01,2023-12-20,,,True,寻人,,,,积极,
213,0213_01,2023-12-20,,,True,表白,J2505,J,好看,积极,lsy
214,0214_01,2023-12-20,,,True,表白,J2505,J,,积极,lsy
215,0215_01,2023-12-20,,,True,其他,,,,积极,
216,0216_01,2023-12-20,J2305,J,False,提问,,,,消极,
217,0217_01,2023-12-20,,,True,表白,,J,帅 大猫猫,积极,zb
218,0218_01,2023-12-20,,,True,寻人,J2503,J,升旗仪式站最前面 帅哥,积极,
219,0219_01,2023-12-20,,,True,提问,,,,中性,
220,0220_01,2023-12-20,,,True,寻人,,,,中性,
221,0221_01,2023-11-30,,,True,表白,,,男神,积极,st
222,0222_01,2023-11-30,G2601,S,True,寻人,J2401,J,长得像外国人 初三,中性,
223,0223_01,2023-11-30,,,True,表白,J2504,J,,积极,lx
224,0224_01,2023-11-30,,,True,寻人,S2506,S,,中性,yjn
225,0225_01,2023-11-30,J2505,J,True,其他,,,,积极,
226,0226_01,2023-11-24,,,False,提问,,,,中性,
227,0227_01,2023-11-24,,,True,祝福,,,最好的化学老师,积极,xk
228,0228_01,2023-11-24,,,True,其他,,,,中性,
229,0229_01,2023-11-24,,,True,其他,,,,中性,
230,0230_01,2023-11-14,,,True,表白,,I,,积极,wzs
231,0231_01,2023-11-13,,,True,寻人,J2209,J,学姐 寻找联系方式,中性,cmy
232,0232_01,2023-11-13,,,True,寻人,,,次粉 高一6班 送卡,积极,
233,0233_01,2023-11-13,,,False,其他,,,,中性,
234,0234_01,2023-11-13,,,True,寻人,,S,校园歌手,中性,ybtx
235,0235_01,2023-11-13,,,True,其他,,,,中性,
236,0236_01,2023-11-13,,,True,寻人,J2403,J,,中性,lxqq
237,0237_01,2023-11-13,,,True,推广,,,,中性,
238,0238_01,2023-11-13,,,True,其他,,,,中性,
239,0239_01,2023-11-13,,,True,其他,,,,中性,
240,0240_01,2023-11-13,,,True,提问,,,,中性,
241,0241_01,2023-10-28,,,True,寻人,,,姜山中学 打比赛,中性,25hns
242,0242_01,2023-10-28,,,True,表白,S2603,S,数学老师 讲课好 找回年轻感觉,积极,
243,0243_01,2023-10-28,,,True,寻人,,,coser,中性,
244,0244_01,2023-10-28,,,True,寻人,,,高一11班 姓殷 帅哥,积极,y
245,0245_01,2023-10-28,,,True,表白,J2502,J,个子高 长得帅 打球也不错,积极,dxw
246,0246_01,2023-10-28,,J,False,其他,,,,中性,
247,0247_01,2023-10-28,J2802,J,True,其他,,,,消极,h
248,0248_01,2023-10-28,,,True,寻人,,,,中性,cjh
249,0249_01,2023-10-28,J2502,J,True,寻物,,,,中性,
250,0250_01,2023-10-28,J2405,J,False,其他,,,,中性,
251,0251_01,2023-10-28,,,True,寻人,,,美女 拿着橙子汁 八字刘海 不戴眼镜 新高一的,中性,
252,0252_01,2023-10-28,,,True,其他,,,,中性,
253,0253_01,2023-10-22,,,True,寻人,,I,学姐,中性,ztj
254,0254_01,2023-10-22,,,True,寻人,,,扎低麻花辫 可爱 大猫猫,积极,kaxns
255,0255_01,2023-10-22,,,False,其他,,,,中性,
256,0256_01,2023-10-22,,,True,寻人,,,,中性,
257,0257_01,2023-10-22,,,False,寻人,S2502,S,,积极,cyh
258,0258_01,2023-10-22,,,True,推广,,,,中性,
259,0259_01,2023-10-22,,,True,表白,J2508,J,太帅了,积极,zxy
260,0260_01,2023-10-22,,,False,寻物,初三一班,J,,中性,
261,0261_01,2023-10-22,J2503,J,False,寻人,,,华晨宇粉丝,积极,hcyfs
262,0262_01,2023-10-22,,,True,表白,S2307,I,好可爱 唱歌也好听,积极,zax
263,0263_01,2023-10-19,,,True,寻人,S2204,I,帅,积极,jx
264,0264_01,2023-10-19,,,True,寻人,,S,,中性,dzq
265,0265_01,2023-10-19,,,True,寻人,S2502,S,长得像李昀锐,积极,lyr
266,0266_01,2023-10-19,,,True,寻人,S2404,I,帅,积极,jx
267,0267_01,2023-10-19,,,True,寻人,,S,,中性,dzq
268,0268_01,2023-10-19,,,True,寻人,S2502,S,长得像李的锐,中性,ldr
269,0269_01,2023-10-19,,,True,寻人,,,帅哥 号码牌4A05,积极,
270,0270_01,2023-10-19,,,False,推广,,,,中性,xshtybdcy
271,0271_01,2023-10-19,,,True,寻人,,,蓝绿色衣服 高高 和其他男生坐在一起,中性,
272,0272_01,2023-10-19,,,True,寻人,,,,中性,zybxjj
274,0274_01,2023-10-19,,,True,表白,S2605,S,眼睛好好看,积极,wcq
275,0275_01,2023-10-19,,,True,寻人,,,,中性,mn
276,0276_01,2023-10-19,,,True,提问,,,,中性,
277,0277_01,2023-10-19,,,True,寻人,J2405,J,帅,积极,cxI
278,0278_01,2023-10-13,S2602,S,False,寻人,,,,积极,
279,0279_01,2023-10-13,,,True,表白,S2610,S,,消极,jc
280,0280_01,2023-10-05,,,True,表白,,,帅哥,积极,
281,0281_01,2023-10-05,J2408,J,True,其他,,,,中性,
282,0282_01,2023-10-05,,,True,其他,,,,中性,
283,0283_01,2023-10-05,,,True,表白,S2602,S,人美心善,积极,zyf
284,0284_01,2023-10-05,,,True,表白,S2602,S,,积极,tn
285,0285_01,2023-09-05,,,True,表白,,,,消极,
286,0286_01,2023-09-05,,,True,提问,,,小帅哥,中性,
287,0287_01,2023-09-05,,,True,表白,,,,积极,
288,0288_01,2023-08-26,,,True,表白,J2407,J,好看 可爱 高冷,积极,lzm
289,0289_01,2023-08-26,,,True,提问,,S,,中性,
290,0290_01,2023-08-26,,,True,提问,,,,中性,
291,0291_01,2023-08-26,,,True,提问,,,,中性,
292,0292_01,2023-08-26,,,True,表白,S2605,S,帅 可爱 大猫猫,积极,yq
293,0293_01,2023-08-26,,,True,提问,,,帅,中性,wjw
294,0294_01,2023-08-26,,,True,提问,,I,国际部 学姐,中性,sxq
295,0295_01,2023-08-26,,,False,其他,,,,积极,
296,0296_01,2023-08-26,,,True,提问,,,,中性,sbc
297,0297_01,2023-08-14,,,True,表白,J2406,J,好看 小姐姐,积极,cjx
298,0298_01,2023-08-14,,,True,表白,J2407,J,好看 正经 高冷 不好接触,积极,zrh
299,0299_01,2023-08-14,,,True,寻人,,,好米 好可爱,积极,mnxjj
300,0300_01,2023-08-14,,,True,寻人,S2508,S,,中性,lkzb
301,0301_01,2023-08-14,,,False,其他,S2600,S,26届,积极,cxy
302,0302_01,2023-08-14,,,True,寻物,,,,中性,
303,0303_01,2023-08-14,,,True,寻人,,,学长 能带看帅哥,积极,fh
304,0304_01,2023-08-04,,,True,提问,,,,中性,
305,0305_01,2023-08-04,J2504,J,True,表白,,,,积极,hjr
306,0306_01,2023-08-04,,,True,祝福,J2405 J2405,J J,,积极,mlr fcr
307,0307_01,2023-08-04,,,True,其他,S2501,S,,中性,szy
308,0308_01,2023-08-04,,,True,寻人,,J,初中部 参加了市青少年诗词雅会,中性,lc
309,0309_01,2023-08-04,C0727,,True,其他,,,,积极,
310,0310_01,2023-08-04,,,True,提问,,,,中性,
311,0311_01,2023-08-04,,,True,寻人,J2405,J,大帅锅 帅照,积极,cxl
312,0312_01,2023-08-04,,,True,其他,,,帅气,积极,
313,0313_01,2023-08-04,,,False,寻物,,,,中性,
314,0314_01,2023-08-04,,,True,提问,J2404,J,,中性,YQ
315,0315_01,2023-08-04,,,True,寻人,,,,中性,pjq
316,0316_01,2023-08-04,,,True,推广,,,,中性,
317,0317_01,2023-08-04,,,True,表白,S2408,I,,积极,hrzp
318,0318_01,2023-07-27,J2406,J,False,寻人,,,,中性,
319,0319_01,2023-07-27,,,True,寻人,,,比较外向,中性,
320,0320_01,2023-07-27,,,True,推广,,,,积极,nwzx
321,0321_01,2023-07-27,,,True,表白,J2405,J,,积极,
322,0322_01,2023-07-27,,,True,表白,J2407,J,有点黑 自信,积极,wrf
323,0323_01,2023-07-24,,,True,表白,J2406,J,人美心善 平易近人 走路跑步特别优雅 小姐姐,积极,jmt
324,0324_01,2023-07-24,,,True,表白,J2505,J,喜欢很久了,积极,lxy
325,0325_01,2023-07-24,,,True,寻人,,,,中性,lxy
326,0326_01,2023-07-24,,,True,推广,,,,中性,
327,0327_01,2023-07-24,,,True,表白,J2406,J,,积极,jmt
328,0328_01,2023-07-24,,,True,其他,,,,中性,
329,0329_01,2023-07-21,,,True,表白,J2405,J,可爱 温柔 奶呼呼 大美女,积极,xz
330,0330_01,2023-07-21,,,True,其他,,,,中性,
331,0331_01,2023-07-21,,,True,寻人,,J,个子不是很高 头发不长不短 眼睛大大的 戴黑框眼镜 挺漂亮的,积极,
332,0332_01,2023-07-21,,,True,寻人,,,,中性,cyn
333,0333_01,2023-07-21,,,True,表白,J2405,J,可爱 温柔 小姐姐 大美女 奶呼呼,积极,xzl
334,0334_01,2023-07-21,,,True,提问,,,,中性,
335,0335_01,2023-07-21,,,True,寻人,,,初一升初二 个子不是很高 头发不长不短 眼睛大大的 戴黑框眼镜 挺漂亮,积极,
336,0336_01,2023-07-21,,,True,寻人,,,原j2205 现高中部,中性,cyn
337,0337_01,2023-07-21,J2305,J,False,其他,,,很好的兄妹关系,中性,sjw
338,0338_01,2023-07-21,,,True,表白,J2404,J,,积极,GYC
339,0339_01,2023-07-21,,,True,提问,,,,中性,
340,0340_01,2023-07-21,,,True,表白,J2307,J,,积极,ch zhr
341,0341_01,2023-07-21,,,True,表白,J2408,J,,积极,qxp
342,0342_01,2023-07-21,,,False,其他,S2301,I,新高一 帮忙提袋子,积极,xd
343,0343_01,2023-07-21,,,True,其他,,,,积极,zj
344,0344_01,2023-07-21,,,True,其他,,,,中性,
346,0346_01,2023-07-17,,,True,寻物,,,,中性,
347,0347_01,2023-07-17,,,True,提问,J2305,J,,中性,cyz sjw
348,0348_01,2023-07-17,,,True,表白,J2407,J,冲冲姐 理想型,积极,zrh
349,0349_01,2023-07-17,,,True,表白,J2405,J,大大咧咧 可可爱爱,积极,mlr
350,0350_01,2023-07-17,S2301,I,False,提问,,,,中性,
351,0351_01,2023-07-17,,,True,吐槽,,,,消极,
352,0352_01,2023-07-17,S2308,I,True,祝福,,,,积极,
353,0353_01,2023-07-17,,,True,提问,,,,中性,
354,0354_01,2023-07-17,,,True,寻人,,,新初三 在游泳中心学游泳,中性,dlq
355,0355_01,2023-07-17,,,True,寻人,,,帮找到饭卡,积极,xj
356,0356_01,2023-07-17,,,True,寻物,,,,中性,zsveS
357,0357_01,2023-07-17,,,True,表白,J2407,J,单纯 善良,积极,zmy
358,0358_01,2023-07-17,,,True,其他,J2403,J,,中性,wz
359,0359_01,2023-07-11,,,True,祝福,J2306,J,前程似锦 万里可期 有缘再见,积极,Ikt
360,0360_01,2023-07-11,J2507,J,False,其他,,,,中性,
361,0361_01,2023-07-11,S2508,S,False,推广,,,说唱社团团员招募,积极,
362,0362_01,2023-07-11,,,False,表白,S2505,S,,中性,njy
363,0363_01,2023-07-11,,,True,吐槽,,,,消极,
364,0364_01,2023-07-11,J2403,J,True,祝福,J2403,J,,积极,wz
365,0365_01,2023-07-11,,,False,寻人,,,,中性,
366,0366_01,2023-07-05,,,False,提问,,,,中性,
367,0367_01,2023-07-05,,,True,祝福,,,,积极,
368,0368_01,2023-07-05,,,False,推广,,,,积极,
369,0369_01,2023-07-04,,,True,其他,,,,消极,
370,0370_01,2023-07-04,,,True,寻人,,,地理学考 自杨考点 321位号 19号 女生,中性,
371,0371_01,2023-07-04,,,True,寻人,S2300,I,23届 去宁波中学,中性,
372,0372_01,2023-07-04,,,True,其他,,,,积极,
373,0373_01,2023-07-04,,,True,寻人,,,,中性,
374,0374_01,2023-07-04,,,True,推广,,,,中性,xdxm
375,0375_01,2023-07-04,,,True,推广,,,,中性,
376,0376_01,2023-07-04,,,True,寻人,S2304,I,,中性,wjy
377,0377_01,2023-07-04,,,True,祝福,J2304,J,,积极,wxs wns
378,0378_01,2023-07-04,,,False,寻物,,,长方体唇釉 美宝莲 粉色,中性,
