image_id,post_id,date,author_class,author_department,is_anonymous,purpose,target_class,target_department,description,sentiment,target_name_initial
43,0043_01,2024-12-23,,,True,推广,,,有美国藤校和多伦多大学保渠道,中性,
44,0044_01,2024-12-23,,,True,表白,J2503,J,又自又高又帅,积极,hyq
45,0045_01,2024-12-23,,,True,寻人,,,令人尊敬,积极,lrzjdxz
46,0046_01,2024-12-23,S2504,S,False,表白,,,疲惫感，困倦，声音好听,积极,yy
47,0047_01,2024-12-23,,,True,表白,S2707,S,戴黑眼镜,积极,g
48,0048_01,2024-12-10,,,True,寻人,,,在体育馆小黑板上写名字的同学,积极,sz xs
50,0050_01,2024-12-10,,,True,表白,,,最好的班主任兼物理老师,积极,zjx ymm
51,0051_01,2024-12-10,,,True,寻人,,,stp姐妹,中性,stpjm
52,0052_01,2024-12-10,J2503,J,True,表白,,,帅,积极,
53,0053_01,2024-12-05,,,True,寻人,高二三班,,有吸引力,积极,z
54,0054_01,2024-12-05,,,True,寻人,,,今天早上在篮球场跳dito,积极,xj
55,0055_01,2024-12-05,,,False,表白,S2703,S,美,积极,hys
56,0056_01,2024-12-05,,,True,寻人,S2606,S,皮肤很白，常穿粉紫渐变鸳鸯AJ,中性,
57,0057_01,2024-12-05,,,True,寻人,,,高一表彰大会语文年级第一的美女,积极,
58,0058_01,2024-12-05,,,True,其他,,,,中性,
59,0059_01,2024-12-05,,,True,提问,J2405,J,去了哪个高中,中性,sm
60,0060_01,2024-12-05,S2503,S,True,祝福,S2503,S,百年好合,积极,xjw hyq
61,0061_01,2024-12-05,J2503,J,False,表白,J2503,J,好小一只好可爱好白好嫩,积极,xjw
62,0062_01,2024-12-05,,,True,其他,,,,中性,
63,0063_01,2024-12-05,,,True,提问,,,,中性,
64,0064_01,2024-12-05,,,True,表白,J2405,J,每一个人,积极,
65,0065_01,2024-12-05,S20G,I,False,其他,,,加好友,积极,
66,0066_01,2024-12-05,,,True,提问,,,,中性,
67,0067_01,2024-12-05,,,True,提问,,,,中性,
68,0068_01,2024-12-05,,,True,寻物,,,有宁外的照片视频,中性,
69,0069_01,2024-10-28,,,True,寻人,J2405,J,姓徐的女生,中性,x
70,0070_01,2024-10-28,,,True,表白,,,在食堂看到她，巨美,积极,cye
71,0071_01,2024-10-28,,,True,寻人,,,市运会细丝黑眼睛的黑皮,中性,
72,0072_01,2024-10-28,,,True,表白,S2610,S,太帅了,积极,cc
73,0073_01,2024-10-28,,,False,表白,J2405,J,希望他们常回宁外,积极,
75,0075_01,2024-10-28,,,True,表白,J2503,J,好可爱,积极,ZYR
77,0077_01,2024-10-28,,,True,表白,2501,S,帅，人人爱的男神,积极,dyh
78,0078_01,2024-10-28,,,True,寻人,S2710,S,姓马的小姐姐,积极,m
79,0079_01,2024-10-25,,,True,寻人,J2004,J,求QQ,中性,yjc
80,0080_01,2024-10-25,,,True,表白,J2503,J,男神,积极,dyh
81,0081_01,2024-10-25,J2402,J,False,祝福,,,,积极,
82,0082_01,2024-10-25,,,True,表白,J2503,J,好萌好可爱,积极,xjw
84,0084_01,2024-10-25,,,True,表白,J2503,J,超级帅,积极,wDQ
85,0085_01,2024-10-25,,,True,表白,S2707,S,小小的，白白的，眼睫毛好长，看着很活泼，转去篮球班,积极,lsl
86,0086_01,2024-10-25,,,True,寻人,,,头发黄黄的不算长，穿白裤子，呆呆的,积极,
87,0087_01,2024-10-25,,,False,表白,J2405,J,全体同学,积极,J2405qttx
88,0088_01,2024-10-25,,,True,表白,b2709,,大美女,积极,xszy wsh
89,0089_01,2024-10-23,,,True,表白,S2507,I,帅,积极,lyc
90,0090_01,2024-10-23,J2507,J,True,表白,J2507,J,语文教得好,积极,qls
91,0091_01,2024-10-23,,,True,寻人,S2703,S,黑皮狼尾,中性,
92,0092_01,2024-10-23,,,True,寻人,J2607,J,求联系方式,中性,
93,0093_01,2024-10-23,,,True,寻人,四班,,穿粉色外套,中性,
94,0094_01,2024-10-23,,,True,表白,J2503,J,可爱,积极,xjw
95,0095_01,2024-10-23,,,False,推广,,,玩第五人格,积极,
96,0096_01,2024-10-23,,,True,表白,,,体育组老师,积极,zysq
97,0097_01,2024-10-23,,,False,推广,,,玩第五人格,积极,
98,0098_01,2024-10-23,,,True,表白,J2503,J,可爱,积极,xjw
99,0099_01,2024-10-23,,,True,寻人,四班,,穿粉色外套的女生,中性,
100,0100_01,2024-10-23,,,True,表白,,,体育组老师,积极,zysq
101,0101_01,2024-10-23,,,True,寻人,J2607,J,,中性,
102,0102_01,2024-10-23,,,True,寻人,S2703,S,黑皮狼尾,中性,
103,0103_01,2024-10-23,J2507,J,True,表白,J2507,J,语文教得好,积极,qls
104,0104_01,2024-10-23,,,True,表白,S2507,I,帅,积极,lyc
105,0105_01,2024-10-12,,,True,表白,S2608,S,校草,积极,lbw
106,0106_01,2024-10-12,,,True,表白,S2608,S,宁外校草,积极,lbw
107,0107_01,2024-10-12,,,True,表白,S2608,S,宁外校草,积极,lbw
109,0109_01,2024-10-12,,,True,提问,,,穿黑T短裤，接力跑快，被体育老师点名,中性,
110,0110_01,2024-10-12,,,False,其他,,,找Kpop圈友,积极,
111,0111_01,2024-10-12,,,True,其他,,J,会打排球,中性,
112,0112_01,2024-10-12,,,True,其他,,,寻找看喜人（九口人）的粉丝，加好友，激推喵灯CP,积极,
113,0113_01,2024-10-12,,,True,寻人,j2705,J,求联系方式,中性,smy
114,0114_01,2024-10-12,,,True,提问,,,穿黑T短裤，接力跑快被体育老师点名,积极,xc
115,0115_01,2024-10-12,,,False,其他,,,找Kpop圈友,积极,
116,0116_01,2024-10-12,,,True,其他,,J,会打排球,中性,
117,0117_01,2024-10-12,,,True,寻人,,,看喜人（尤其是九口人）的，想加好友，激推喵灯CP,积极,
118,0118_01,2024-10-12,,,True,寻人,J2705,J,求联系方式,中性,smy
119,0119_01,2024-10-12,,,False,寻人,,,在817号下午两点左右点了一杯茶百道的青提茉莉并放在3422一号床位的人,中性,
120,0120_01,2024-10-12,,,True,表白,S2501,S,长得高帅,积极,whq
121,0121_01,2024-10-12,J2505,J,False,寻人,,,高中漂亮学姐,积极,
122,0122_01,2024-10-12,O80,,True,提问,,,,中性,
123,0123_01,2024-10-12,,,True,提问,,,询问二号楼宿舍类型,中性,
124,0124_01,2024-10-12,,,True,寻人,S2508,S,学姐,积极,jzy
125,0125_01,2024-10-12,,,False,表白,J2505,J,,积极,zdn
126,0126_01,2024-10-12,,,True,寻人,,,MBTI是ENFP的男生,积极,
127,0127_01,2024-10-12,,,True,寻人,J2602,J,,中性,zjy
128,0128_01,2024-10-12,,,False,寻人,,,在817号下午两点左右点了一杯茶百道的青提茉莉并放在3422一号床位的人,中性,
129,0129_01,2024-10-12,,,True,表白,S2501,S,长得高帅,积极,whq
130,0130_01,2024-10-12,J2505,J,False,寻人,,,高中漂亮学姐,积极,
131,0131_01,2024-10-12,,,True,提问,,,,中性,
132,0132_01,2024-10-12,,,True,提问,,,询问二号楼宿舍是六人间还是四人间,中性,
133,0133_01,2024-10-12,,,True,寻人,S2508,S,学姐,积极,jzy
134,0134_01,2024-10-12,,,True,寻人,J2505,J,强强,积极,zdn
135,0135_01,2024-10-12,,,True,其他,,,MBTI是ENFP的男生,积极,
136,0136_01,2024-10-12,,,True,寻人,J2602,J,求联系方式,中性,zjy
137,0137_01,2024-09-04,,,False,吐槽,,,抢饭,中性,xs
138,0138_01,2024-09-04,,,True,寻人,,,滑滑板的板友,中性,
139,0139_01,2024-08-06,,S,True,提问,,,,中性,
140,0140_01,2024-08-06,,,True,寻人,,,想加好友,积极,xzn al
141,0141_01,2024-08-06,,,True,表白,,,可爱,积极,52509m
142,0142_01,2024-07-24,,,False,寻人,,,看假面骑士,积极,
143,0143_01,2024-07-23,,,True,其他,,,,中性,
144,0144_01,2024-07-23,,,True,其他,新高一,,玩第五人格,中性,
145,0145_01,2024-07-23,,,False,推广,,,,中性,
146,0146_01,2024-07-23,,I,True,寻人,S2508,I,偷走大量外方教科书、计算机和相机等物品并倒卖,消极,hyz
147,0147_01,2024-07-23,,,False,寻人,,,温柔,积极,
148,0148_01,2024-07-23,,,True,寻人,高三,,高三,中性,xty
149,0149_01,2024-07-23,,,True,寻人,新高二一班,,很漂亮,积极,
150,0150_01,2024-07-23,,,True,提问,,,,中性,
152,0152_01,2024-07-23,,,True,推广,,,,中性,
153,0153_01,2024-07-23,,,True,提问,,,,中性,
154,0154_01,2024-07-23,,,True,寻人,新高二一班,,漂亮,积极,
155,0155_01,2024-07-23,,,True,寻人,高三,,寻找照片,中性,xty
156,0156_01,2024-07-23,,,False,寻人,,,温柔,积极,
157,0157_01,2024-07-23,,I,True,寻人,S2508,I,偷走教科书、计算机、相机等物品并倒卖,消极,hyz
158,0158_01,2024-07-16,,,True,提问,,,询问宁外浴室情况,中性,
159,0159_01,2024-07-16,,,True,表白,J2401,J,漂亮可爱阳光,积极,tle
160,0160_01,2024-07-16,,,True,表白,,,同桌,积极,tle
161,0161_01,2024-07-16,,,True,其他,,,寻找乐队成员,中性,
162,0162_01,2024-07-16,,,True,寻人,高一一班,,会打篮球 比较健壮 唱过最长的电影,中性,w
163,0163_01,2024-07-16,,,True,寻人,,,黑色衣服的男孩子,中性,
165,0165_01,2024-07-16,,,False,推广,,,,积极,
166,0166_01,2024-07-16,,,True,推广,,,赛事宣传,积极,
167,0167_01,2024-07-16,,,False,推广,,,,积极,
168,0168_01,2024-07-04,,,True,寻人,,,背逆转裁判痛包的小姐姐,积极,
169,0169_01,2024-05-24,,,True,其他,S2609,S,拿回秘密小纸条,积极,yzx cyz
170,0170_01,2024-03-27,,,True,寻人,,,高二,中性,ljl
171,0171_01,2024-02-26,,,True,寻人,J2405,J,帅,积极,cxI
172,0172_01,2024-02-26,,,True,其他,,,效实奶狗男生,中性,
173,0173_01,2024-02-13,,,True,表白,J2304,J,帅,积极,lhx
174,0174_01,2024-02-10,,,True,表白,J2405,J,,积极,mlrp
175,0175_01,2024-02-10,,,True,寻人,,,帅哥,中性,
177,0177_01,2024-01-26,,,True,表白,S2506,S,漂亮有气质,积极,wym
178,0178_01,2024-01-23,,,True,寻人,S2605,S,寻找照片,中性,wcq
179,0179_01,2024-01-23,S2505,S,False,寻物,,,白色自动伞，伞把按钮和伞绳紫色，伞绳有小缺，伞把和扣子有品牌名,中性,
180,0180_01,2024-01-23,S2508,I,False,推广,,,,中性,
181,0181_01,2024-01-03,,,True,寻人,,I,国际部音乐会学生导演,积极,
182,0182_01,2024-01-03,J2201,J,False,其他,,,,中性,
183,0183_01,2024-01-03,J2501,J,True,其他,J2501,J,,中性,ykx
184,0184_01,2024-01-03,,,True,寻人,高一八班,S,扎侧麻花辫的女生,中性,
185,0185_01,2023-12-31,,,True,寻人,,,拿错了礼物，草莓熊和零食礼包,中性,
187,0187_01,2023-12-31,,,True,寻人,,,打架子鼓的穿灰色卫衣的男生,中性,
188,0188_01,2023-12-31,,,False,寻人,S2501,S,需要ta的微信,中性,cs
189,0189_01,2023-12-31,,,True,寻人,209,I,穿兽装,中性,xjj
190,0190_01,2023-12-31,,,True,提问,,,询问美少女墙贴是否还在,中性,
191,0191_01,2023-12-20,,,False,寻物,,,白色耳机,中性,
192,0192_01,2023-12-20,,,True,表白,高一,,小美女,积极,gyc
193,0193_01,2023-12-20,,,True,推广,,,kpop人,积极,
194,0194_01,2023-12-20,,,True,寻物,,,找一首周四广播站播放的英文歌，女生唱，前奏像上战场，忧伤，歌词有long high so light baby i'm falling,中性,
195,0195_01,2023-12-20,,,True,提问,,,一首英文歌，女生唱，前奏好听，像上战场一样忧伤，歌词有long high so light baby i'm falling,中性,
196,0196_01,2023-12-20,,,True,提问,,,广播站播放的最后一首歌,中性,
197,0197_01,2023-12-20,,,False,寻物,,,手链，带蝴蝶形钻，在艺术楼附近丢失,中性,
198,0198_01,2023-12-20,,,False,寻物,,,丢失手链，带蝴蝶形钻,中性,
199,0199_01,2023-12-20,,,True,提问,,,广播站播放的最后一首歌,中性,
200,0200_01,2023-12-20,,,False,寻物,,,白色耳机,中性,
201,0201_01,2023-12-20,,,True,表白,,,小美女,积极,gyc
202,0202_01,2023-12-20,,,True,推广,,,kpop人,积极,
203,0203_01,2023-12-20,,,True,寻物,,,一首英文歌，女生唱，前奏像上战场，忧伤，歌词有long high so light baby i'm falling,中性,
204,0204_01,2023-12-20,,,True,提问,,,寻找一首英文歌，女生唱，前奏好听，歌词有long high so light baby i'm falling,中性,
205,0205_01,2023-12-20,,,True,表白,J2505,J,长得好好看,积极,lsy
206,0206_01,2023-12-20,,,True,其他,,,宁外之声的四首歌,积极,
207,0207_01,2023-12-20,,,True,表白,J2505,J,,积极,lsy
208,0208_01,2023-12-20,,,True,表白,,J,帅，大猫猫,积极,zb
209,0209_01,2023-12-20,J2305,J,False,提问,,,很要好的朋友发消息已读不回,消极,
210,0210_01,2023-12-20,,,True,寻人,J2503,J,升旗仪式站最前面的帅哥,积极,
211,0211_01,2023-12-20,,,True,提问,,,,中性,
212,0212_01,2023-12-20,,,True,寻人,,,之前在小卖部墙上要我微信,积极,bb
213,0213_01,2023-12-20,,,True,表白,J2505,J,长得好好看,积极,lsy
214,0214_01,2023-12-20,,,True,表白,J2505,J,,积极,lsy
215,0215_01,2023-12-20,,,True,其他,,,宁外之声的四首歌好听,积极,
216,0216_01,2023-12-20,J2305,J,False,提问,,,很要好的朋友已读不回消息,消极,
217,0217_01,2023-12-20,,,True,表白,,J,帅，大猫猫,积极,zb
218,0218_01,2023-12-20,,,True,寻人,J2503,J,升旗仪式站最前面的帅哥,积极,
219,0219_01,2023-12-20,,,True,提问,,,,中性,
220,0220_01,2023-12-20,,,True,寻人,,,之前在小卖部墙上要我微信,积极,
221,0221_01,2023-11-30,,,True,表白,,,男神,积极,st
222,0222_01,2023-11-30,,S,True,提问,初三,J,长得像外国人,中性,
223,0223_01,2023-11-30,,,True,表白,J2504,J,喜欢8个月,积极,lx
224,0224_01,2023-11-30,,,True,寻人,S2506,S,,中性,yjn
225,0225_01,2023-11-30,J2505,J,False,表白,,,长得美,积极,hz
226,0226_01,2023-11-24,,,False,提问,,,寻找同去cp30的伙伴,中性,
229,0229_01,2023-11-24,,,True,吐槽,,,被污染的鄞高表白墙,消极,
230,0230_01,2023-11-14,,,True,表白,,I,,积极,wzs
231,0231_01,2023-11-13,,,True,寻人,J2209,J,学姐，寻找联系方式,中性,cmy
232,0232_01,2023-11-13,,,True,寻人,S2606,S,次粉，高一6班，送了一张卡,积极,
233,0233_01,2023-11-13,,,False,其他,,,组路演,中性,
234,0234_01,2023-11-13,,,True,寻人,,S,右边同学，校园歌手,积极,
236,0236_01,2023-11-13,,,True,寻人,初二四班,J,求画,中性,lxqq
238,0238_01,2023-11-13,,,True,其他,,,,中性,
239,0239_01,2023-11-13,,,True,其他,,,推荐动画孤独摇滚，解决社交焦虑,积极,
240,0240_01,2023-11-13,,,True,提问,,,水怪,中性,wxl
241,0241_01,2023-10-28,,,True,寻人,,,今天中午打比赛的姜山中学的25号男生,中性,
242,0242_01,2023-10-28,,,True,表白,S2603,S,数学老师，讲课好，找回年轻感觉,积极,
243,0243_01,2023-10-28,,,True,寻人,,,学校里的coser,中性,
244,0244_01,2023-10-28,,,True,寻人,高一11班,,帅哥,积极,y
245,0245_01,2023-10-28,,,True,表白,J2502,J,个子高，长得帅，打球不错,积极,dxw
246,0246_01,2023-10-28,,J,False,推广,,,,积极,
247,0247_01,2023-10-28,J280,J,True,吐槽,,,没惹任何人,消极,h
248,0248_01,2023-10-28,,,True,寻人,初班,J,寻找QQ,中性,cjh
249,0249_01,2023-10-28,J2502,J,True,寻物,,,黑色封面的残次品，内有批注,中性,
250,0250_01,2023-10-28,J2405,J,False,推广,,,,中性,
251,0251_01,2023-10-28,,,True,寻人,,I,美女，拿橙汁，八字刘海，不戴眼镜，新高一的,积极,
252,0252_01,2023-10-28,,,True,其他,,,,中性,
253,0253_01,2023-10-22,,,True,寻人,,I,学姐,中性,ztj
254,0254_01,2023-10-22,,,True,寻人,,,扎低麻花辫的可爱小女生,积极,
255,0255_01,2023-10-22,,,False,其他,,,,中性,
256,0256_01,2023-10-22,,,False,其他,,,找搭子去杭州第二届icic动漫节,中性,
257,0257_01,2023-10-22,,,False,寻物,S2502,S,表情包,积极,cyh
259,0259_01,2023-10-22,,,True,表白,J2508,J,帅,积极,zxy
260,0260_01,2023-10-22,,,False,寻物,初三一班,J,蓝色伞,中性,
260,0260_02,2023-10-22,,,False,寻人,,,女生寝室四号楼一楼志愿者,中性,wc
261,0261_01,2023-10-22,J2503,J,False,寻人,,,华晨宇粉丝,积极,hcyfs
262,0262_01,2023-10-22,,,True,表白,7班,,可爱，唱歌好听,积极,zax
263,0263_01,2023-10-19,,,True,寻人,高二4班,,帅,积极,jx
264,0264_01,2023-10-19,,,True,寻人,,S,寻找联系方式,中性,dzq
265,0265_01,2023-10-19,,,True,寻人,S2502,S,长得像李昀锐,积极,lyr
266,0266_01,2023-10-19,,,True,寻人,高二4班,,帅,积极,jx
267,0267_01,2023-10-19,,,True,寻人,,S,,中性,dzq
268,0268_01,2023-10-19,,,True,寻人,S2502,S,长得像李的锐,中性,ldr
269,0269_01,2023-10-19,,,True,寻人,,,运动会号码牌4A05的帅哥,积极,
270,0270_01,2023-10-19,,,False,其他,,,学生会体育部成员,中性,tybcy
271,0271_01,2023-10-19,,,True,寻人,,,运动会第一天下午坐在看台最上面穿蓝绿色衣服的高个子男生,中性,
272,0272_01,2023-10-19,,,True,寻人,,,最右边的小姐姐,积极,
274,0274_01,2023-10-19,,,True,表白,S2605,S,眼睛好看,积极,wcq
275,0275_01,2023-10-19,,,True,寻人,,,美女,中性,
276,0276_01,2023-10-19,,,True,提问,,,有随机舞蹈视频的人,中性,
277,0277_01,2023-10-19,,,True,寻人,J2405,J,帅,积极,cxI
278,0278_01,2023-10-13,S2602,S,False,寻人,,,两个女孩子和一个男生，o人,积极,
279,0279_01,2023-10-13,,,True,吐槽,S2610,I,长相报看情商低,消极,jc
280,0280_01,2023-10-05,,,True,表白,,,帅哥,积极,
281,0281_01,2023-10-05,J2408,J,True,寻物,,,需要报纸,中性,
282,0282_01,2023-10-05,,,True,其他,,,,中性,
283,0283_01,2023-10-05,,,True,表白,S2602,S,人美心善,积极,zyf
284,0284_01,2023-10-05,,,True,表白,S2602,S,,积极,tn
285,0285_01,2023-09-05,,,True,表白,,,暗恋对象，喜欢别人，疏远,消极,
286,0286_01,2023-09-05,,,True,提问,新高一,,小帅哥,积极,
287,0287_01,2023-09-05,,,True,表白,,,这个男人,积极,zgnr
288,0288_01,2023-08-26,,,True,表白,J2407,J,好看、可爱、高冷,积极,lzm
289,0289_01,2023-08-26,,,True,提问,,,,中性,
290,0290_01,2023-08-26,,,True,提问,,,同学录留言询问含义,中性,
291,0291_01,2023-08-26,,S,True,提问,,S,高中部学长学姐,积极,
292,0292_01,2023-08-26,,,True,表白,S2605,S,帅 可爱,积极,yq
293,0293_01,2023-08-26,,,True,提问,高二,,帅,中性,wjw
294,0294_01,2023-08-26,,,True,寻人,,I,国际部学姐,中性,sxq
295,0295_01,2023-08-26,,,False,吐槽,,,怀念宁外的校园生活,积极,
296,0296_01,2023-08-26,,,True,提问,,,性格,中性,sbc
297,0297_01,2023-08-14,,,True,表白,J2406,J,好看,积极,cjx
298,0298_01,2023-08-14,,,True,表白,J2407,J,好看，正经，高冷，不好接触,积极,zrh
299,0299_01,2023-08-14,,,True,寻人,,,米女小姐姐，好米好可爱,积极,
300,0300_01,2023-08-14,,,True,寻人,S2508,I,询问联系方式及评价,中性,lkzb
301,0301_01,2023-08-14,,,False,其他,26届,,扩列,积极,cxy
302,0302_01,2023-08-14,,,True,寻物,,,宁外雨天的照片或视频,中性,
303,0303_01,2023-08-14,,,True,其他,,,学长，能带看帅哥,积极,fh
304,0304_01,2023-08-04,,,True,提问,,,,中性,
305,0305_01,2023-08-04,,,True,其他,新初二4班,J,喜欢女生,中性,hjr
306,0306_01,2023-08-04,,,True,祝福,J2405,J,情侣祝福,积极,mlr fcr
307,0307_01,2023-08-04,,,True,其他,S2501,S,喜欢一句话,中性,szy
308,0308_01,2023-08-04,,,True,寻人,,J,参加了市青少年诗词雅会,中性,lc
309,0309_01,2023-08-04,,,True,其他,,,分享最喜欢的照片,积极,
310,0310_01,2023-08-04,,,True,提问,,,,中性,
311,0311_01,2023-08-04,,,True,寻人,J2405,J,大帅锅的帅照,积极,cxl
312,0312_01,2023-08-04,,,True,其他,,,帅气,积极,
313,0313_01,2023-08-04,,,False,寻物,,,拿错了书，红色袋子，内有维克多、乡土中国、语文书、政治书、物理书等,中性,
314,0314_01,2023-08-04,,,True,提问,J2404,J,有人喜欢她,中性,YQ
315,0315_01,2023-08-04,,,True,寻人,,,想知道是否存在,中性,pjq
316,0316_01,2023-08-04,,,True,推广,,,寻找想被带飞的人,积极,
317,0317_01,2023-08-04,,,True,表白,2408,,,积极,hrzp
318,0318_01,2023-07-27,J2406,J,False,寻人,,,找用网易云音乐的人,中性,
319,0319_01,2023-07-27,,,True,寻人,,,比较外向的朋友,中性,
320,0320_01,2023-07-27,,,True,其他,,,宁外之星,积极,
321,0321_01,2023-07-27,j2405,J,True,表白,j2405,J,一个人,积极,
322,0322_01,2023-07-27,,,True,表白,J2407,J,有点黑但很自信,积极,wrf
323,0323_01,2023-07-24,,,True,表白,J2406,J,人美心善平易近人走路跑步特别优雅,积极,jmt
324,0324_01,2023-07-24,,,True,表白,J2505,J,喜欢很久了,积极,lxy
325,0325_01,2023-07-24,,,True,寻人,,,,中性,lxy
326,0326_01,2023-07-24,,I,True,推广,,I,需要二手学科课本和计算器,中性,
327,0327_01,2023-07-24,,,True,表白,J2406,J,被表白对象,积极,jmt
328,0328_01,2023-07-24,,,False,其他,,,,中性,
329,0329_01,2023-07-21,,,True,表白,J2405,J,可爱温柔的小姐姐，奶呼呼，大美女,积极,xz
330,0330_01,2023-07-21,,,True,提问,,,求新高一理科类教辅资料,中性,
331,0331_01,2023-07-21,,,True,寻人,,J,初一升初二，个子不高，头发不长不短，眼睛大，戴黑框眼镜，漂亮,积极,
332,0332_01,2023-07-21,,,True,寻人,,S,原j2205现高中部,中性,cyn
333,0333_01,2023-07-21,,,True,表白,J2405,J,可爱温柔的小姐姐，奶呼呼的大美女,积极,xzl
334,0334_01,2023-07-21,,,True,提问,,,求新高一理科教辅资料,中性,
335,0335_01,2023-07-21,,,True,寻人,,J,个子不高，头发不长不短，眼睛大，戴黑框眼镜，漂亮,积极,
336,0336_01,2023-07-21,,,True,寻人,,S,原j2205现高中部,中性,cyn
337,0337_01,2023-07-21,J2305,J,False,其他,J2305,J,澄清兄妹关系,中性,cyz sjw
338,0338_01,2023-07-21,,,True,表白,J2404,J,,积极,GYC
339,0339_01,2023-07-21,,,True,提问,,,询问体育活动做操的bgm,中性,
340,0340_01,2023-07-21,,,True,表白,J2307 J2307,J,毕业快乐,积极,ch zhr
341,0341_01,2023-07-21,J2408,J,True,表白,J2408,J,,积极,qxp
342,0342_01,2023-07-21,,,False,感谢,新高一,,帮忙提袋子,积极,xd
343,0343_01,2023-07-21,,,False,其他,,,被帅死,积极,zj eyz sjw
344,0344_01,2023-07-21,,,True,其他,,,,中性,
346,0346_01,2023-07-17,,,True,寻物,,,灰色坐垫和挂书的袋子,中性,
347,0347_01,2023-07-17,,,True,提问,J2305,J,询问是否是一对,中性,cyz sjw
348,0348_01,2023-07-17,,,True,表白,J2407,J,冲冲姐，天天ws别人，理想型,积极,zrh
349,0349_01,2023-07-17,,,True,表白,J2405,J,大大咧咧可可爱爱,积极,mlr
351,0351_01,2023-07-17,,,True,吐槽,,,,消极,
352,0352_01,2023-07-17,,,True,祝福,2308,,毕业快乐,积极,
353,0353_01,2023-07-17,,,True,提问,,,询问初三23届各班毕业照,中性,
354,0354_01,2023-07-17,,,True,寻人,新初三,J,在游泳中心学游泳,中性,dlq
355,0355_01,2023-07-17,,,False,寻人,,,帮忙找到饭卡的学姐,积极,
356,0356_01,2023-07-17,,,True,寻物,,,卡检到318一日,中性,zsveS
357,0357_01,2023-07-17,,,True,表白,J2407,J,单纯善良,积极,zmy
358,0358_01,2023-07-17,J2403,J,False,其他,J2403,J,下单,中性,wz
359,0359_01,2023-07-11,,,True,祝福,J2306,J,前程似锦万里可期,积极,Ikt
360,0360_01,2023-07-11,J2507,J,False,其他,,,征婚,积极,
361,0361_01,2023-07-11,S2508,S,False,推广,,,说唱社团团员招募,积极,
